,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio mayo 2022,Descuento,Precio referencial con convenio mayo 2022
1092,RIFAXIMA,NORMIX 200mg X12COM.REC.,ANDROMACO FARMA,$ 16.199,18%,$ 13.283
1093,RIFAXIMA,RIBOLAC 200mg X10COM.,RECALCINE,$ 11.599,20%,$ 9.279
1094,RIFAXIMA,NORMIX 200mg X24COM.REC.,ANDROMACO FARMA,$ 38.799,28%,$ 27.935
1095,RISPERIDONA,(B) RISPYL 2mg COMP.X20,AXON PHARMA,$ 17.999,15%,$ 15.299
1096,RISPERIDONA,GOVAL (B) 1mg X30COM.REC.,PHARMA INVESTI,$ 18.499,20%,$ 14.799
1097,RISPERIDONA,SPIRON 1mg/ml GTAS.X30ml,ANDROMACO FARMA,$ 27.199,25%,$ 20.399
1098,RISPERIDONA,RADIGEN (B) 1mg/ml GTAS.X30ml,MEDIPHARM,$ 17.799,25%,$ 13.349
1099,RISPERIDONA,SPIRON (B) 1mg X30COM.REC.,ANDROMACO FARMA,$ 31.299,35%,$ 20.344
1100,RISPERIDONA,RISPYL (B) 3mg X20COM.,AXON PHARMA,$ 18.999,45%,$ 10.449
1101,RISPERIDONA,DAGOTIL 1mg/ml GTAS.X30ml,PHARMA INVESTI,$ 26.299,47%,$ 13.938
1102,RISPERIDONA,DAGOTIL (B) 1mg X30COM.REC.,PHARMA INVESTI,$ 22.799,52%,$ 10.944
1103,RISPERIDONA,DAGOTIL (B) 3mg X30COM.REC,PHARMA INVESTI,$ 26.299,60%,$ 10.520
1104,RIVAROXABAN,XARELTO 10mg COMP.X10,BAYER ETICO,$ 44.999,19%,$ 36.449
1105,RIVAROXABAN,TROMBEX (B) 15mg X28COM.REC.,ITF (EX LABOMED),$ 55.999,23%,$ 43.119
1106,RIVAROXABAN,TROMBEX (B) 20mg X28COM.REC,ITF (EX LABOMED),$ 55.999,28%,$ 40.319
1107,RIVAROXABAN,XARELTO 15mg X28COM.REC.,BAYER ETICO,$ 70.799,30%,$ 49.559
1108,RIVAROXABAN,XARELTO 20mg X28COM.REC.,BAYER ETICO,$ 76.899,30%,$ 53.829
1109,RIVASTIGMINA,EXELON (R) 1.5mg X28CAP.,AXON PHARMA,$ 86.999,15%,$ 73.949
1110,RIVASTIGMINA,EXELON (R) 3mg X28CAP.,AXON PHARMA,$ 82.199,15%,$ 69.869
1111,RIVASTIGMINA,EXELON (R) 4.5mg X28CAP.,AXON PHARMA,$ 86.399,15%,$ 73.439
1112,RIVASTIGMINA,EXELON (R) 6mg X28CAP.,AXON PHARMA,$ 85.699,15%,$ 72.844
1113,RIVASTIGMINA,EXELON 5 X30PCHE.,AXON PHARMA,$ 116.599,20%,$ 93.279
1114,RIVASTIGMINA,EXELON 10 X30PCHE.,AXON PHARMA,$ 119.199,22%,$ 92.975
1115,RIVASTIGMINA,EXELON 15 X30PCHE.,AXON PHARMA,$ 119.199,22%,$ 92.975
1116,ROSUVASTATINA,CRESTOR TABLETS (R) 20mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$ 65.299,15%,$ 55.504
1117,ROSUVASTATINA,CRESTOR TABLETS (R) 10mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$ 44.899,20%,$ 35.919
1118,ROSUVASTATINA,ROSVEL 10mg X60COM.REC.,LABORATORIO CHILE,$ 15.099,21%,$ 11.928
1119,ROSUVASTATINA,CRESTOR TABLETS (R) 40mg X30COM.,ASTRA ZENECA DE CHILE LTDA.,$ 87.899,24%,$ 66.803
1120,ROSUVASTATINA,ROSVEL 10mg X30COM.REC.,LABORATORIO CHILE,$ 11.699,30%,$ 8.189
1121,ROSUVASTATINA,ROSVEL 20mg X30COM.REC.,LABORATORIO CHILE,$ 15.299,30%,$ 10.709
1122,ROSUVASTATINA,RUX (B) 20mg COMP.X30,SAVAL S.A.,$ 34.899,33%,$ 23.382
1123,ROSUVASTATINA,RUX (B) 10mg COMP.X30,SAVAL S.A.,$ 21.699,34%,$ 14.321
1124,ROSUVASTATINA,ROVARTAL 10mg X30COM.REC.,PHARMA INVESTI,$ 20.099,39%,$ 12.260
1125,ROSUVASTATINA,CRESADEX 10mg X30COM.REC.,RECALCINE,$ 26.999,40%,$ 16.199
1126,ROSUVASTATINA,CRESADEX 20mg X30COM.REC.,RECALCINE,$ 36.999,40%,$ 22.199
1127,ROSUVASTATINA,ROVARTAL 20mg X30COM.REC.,PHARMA INVESTI,$ 28.699,40%,$ 17.219
1128,RUPATADINA,REAX 10mg X30COM.,RECALCINE,$ 11.499,25%,$ 8.624
1129,RUPATADINA,REXANEL 10mg X30COM.,PRATER,$ 12.599,25%,$ 9.449
1130,SACHAROMYCES BOULARDII,VINTIX 250mg X10CAP.,PHARMA INVESTI,$ 9.999,32%,$ 6.799
1131,SALBUTAMOL INHALACION,BROPIL LF 100mcg INH.X200DS.,RECALCINE,$ 9.299,20%,$ 7.439
1132,SALBUTAMOL INHALACION,SALBUTAMOL 100mcg INH.X200DS.,OPKO,$ 3.199,51%,$ 1.568
1133,SALBUTAMOL INHALACION,BUTOTAL 100mcg INH.X250DS,D&M PHARMA S.A.,$ 4.099,77%,$ 943
1134,SALMETEROL,SEREVENT LF 25mcg 120DS.,GLAXO,$ 47.499,15%,$ 40.374
1135,SALMETEROL + FLUTICASONA,BREXOTIDE LF 250/25 INH.X120DS.,ETEX FARMACEUTICA LTDA.,$ 53.999,36%,$ 34.559
1136,SALMETEROL + FLUTICASONA,AURITUSS 25/125 AER.INH.X120DS.,RECALCINE,$ 31.499,15%,$ 26.774
1137,SALMETEROL + FLUTICASONA,AURITUSS 25/250 AER.INH.X120DS.,RECALCINE,$ 37.599,19%,$ 30.455
1138,SALMETEROL + FLUTICASONA,SERETIDE LF 250/25 CD X120DS.,GLAXO,$ 70.499,28%,$ 50.759
1139,SALMETEROL + FLUTICASONA,BROMEX SF 25/250 AER.X120DS.,LABORATORIO CHILE,$ 43.899,30%,$ 30.729
1140,SALMETEROL + FLUTICASONA,SERETIDE LF 125/25 CD X120DS.,GLAXO,$ 71.199,31%,$ 49.127
1141,SALMETEROL + FLUTICASONA,FLUXAMOL HFA 250/25 INH.X120DS.,D&M PHARMA S.A.,$ 29.399,31%,$ 20.285
1142,SALMETEROL + FLUTICASONA,BREXOTIDE LF 125/25 INH.X120DS.,ETEX FARMACEUTICA LTDA.,$ 51.099,60%,$ 20.440
1143,SAXAGLIPTINA + METFORMINA,KOMBIGLYZE XR 5/1000 X28COM.,ASTRA ZENECA DE CHILE LTDA.,$ 53.499,30%,$ 37.449
1144,SAXAGLIPTINA + METFORMINA,KOMBIGLYZE XR 2.5/1000 X56COM.,ASTRA ZENECA DE CHILE LTDA.,$ 53.499,30%,$ 37.449
1145,SERTRALINA,SERONEX (B) 50mg X30COM.REC.,EXELTIS CHILE,$ 20.299,15%,$ 17.254
1146,SERTRALINA,(R) ALTRULINE 100mg COMP.X30,PFIZER,$ 80.099,18%,$ 65.681
1147,SERTRALINA,SERONEX (B) 100mg X30COM.REC.,EXELTIS CHILE,$ 26.599,24%,$ 20.215
1148,SERTRALINA,SERTAC (B) 100mg X30COM.REC.,ANDROMACO FARMA,$ 25.299,39%,$ 15.432
1149,SERTRALINA,SERTAC (B) 50mg X30COM.REC.,ANDROMACO FARMA,$ 24.299,43%,$ 13.850
1150,SERTRALINA,SERTRALINA (B) 100mg X30COM.,LABORATORIO CHILE,$ 7.099,69%,$ 2.201
1151,SERTRALINA,SERTRALINA (B) 50mg X30COM.,LABORATORIO CHILE,$ 2.899,77%,$ 667
1152,SILDENAFIL,DIRTOP (B) 50mg X20COM.REC.,MEDIPHARM,$ 15.799,35%,$ 10.269
1153,SILDENAFIL,DIRTOP (B) 100mg X5COM.REC.,MEDIPHARM,$ 12.399,47%,$ 6.571
1154,SILDENAFIL,DIRTOP (B) 50mg X5COM.REC.,MEDIPHARM,$ 6.199,50%,$ 3.100
1155,SILDENAFIL,DISILDEN (B) 100mg X3COM.,FARMAPRECIO,$ 2.599,58%,$ 1.092
1156,SILDENAFIL,DIRTOP (B) 50mg X10COM.REC.,MEDIPHARM,$ 12.199,59%,$ 5.002
1157,SILDENAFIL,DIRTOP (B) 50mg X1COM.REC.,MEDIPHARM,$ 1.499,76%,$ 360
1158,SIMETICONA,FLAPEX 4% GTAS.X15ml,ANDROMACO FARMA,$ 15.299,20%,$ 12.239
1159,SIMETICONA,FLAPEX E X10CAP.,ANDROMACO FARMA,$ 5.599,20%,$ 4.479
1160,SIMVASTATINA + EZETIMIBA,VYTORIN 10/20 COMP.X28,MSD-ORGANON,$ 51.299,30%,$ 35.909
1161,SIMVASTATINA + EZETIMIBA,ZETIROL (B) 10/20 X28COM.,ASCEND LABORATORIES SPA,$ 41.999,37%,$ 26.459
1162,SITAGLIPTINA,JANUVIA 100mg COMP.X28,MERCK SHARP&DOME,$ 51.899,27%,$ 37.886
1163,SITAGLIPTINA + METFORMINA,JANUMET XR 100/1000 COMP.X28,MERCK SHARP&DOME,$ 60.899,30%,$ 42.629
1164,SITAGLIPTINA + METFORMINA,JANUMET 50/850 X28COM.REC.,MERCK SHARP&DOME,$ 33.999,34%,$ 22.439
1165,SITAGLIPTINA + METFORMINA,JANUMET 50/1000 X28COM.REC.,MERCK SHARP&DOME,$ 34.599,37%,$ 21.797
1166,SITAGLIPTINA + METFORMINA,JANUMET 50/500 X28COM.REC.,MERCK SHARP&DOME,$ 33.999,38%,$ 21.079
1167,SODIO BICARBONATO,BICARBONATO DE SODIO X 200 GR.,RECETARIO,$ 1.999,65%,$ 700
1168,SODIO BICARBONATO + SODIO ALGINATO,GAVISCON 300ml,RECKITT BENCKISER FARMA,$ 22.699,33%,$ 15.208
1169,SODIO CLORURO INYECTABLE,CLORURO DE SODIO 0.9% 20ml X5AMP.,BIOSANO,$ 1.899,50%,$ 950
1170,SODIO CLORURO INYECTABLE,CLORURO SODIO 0.9% X500ml,HOSPIFARMA,$ 1.999,59%,$ 820
1171,SODIO HIALURONATO,TOPTEAR 0.4% SOF.X10ml,PHARMA INVESTI,$ 14.199,33%,$ 9.513
1172,SODIO HIALURONATO,OSMOLUB 0.1% SOF.10ml,SMB,$ 13.299,33%,$ 8.910
1173,SODIO HIALURONATO,HYABAK SOF.X10ml,THEA PHARMA SPA,$ 29.099,38%,$ 18.041
1174,SODIO HIALURONATO,LAGRICEL OFTENO 0.4% SOF.X20UNID.,SOPHIA,$ 25.899,40%,$ 15.539
1175,SODIO HIALURONATO,SODYAL SOF. X10ml,RECETARIO,$ 10.199,49%,$ 5.201
1176,SODIO HIALURONATO+CONDROITIN SULFATO,HUMYLUB OFTENO PF SOF.X10ml,SOPHIA,$ 24.499,34%,$ 16.169
1177,SOMATROPINA,OMNITROPE 10mg CARTRI.X1,NOVARTIS CHILE S.A.,$ 118.999,15%,$ 101.149
1178,SUCRALFATO,MULCATEL SUSP.200ml,MAVER FARMA,$ 17.999,50%,$ 9.000
1179,SUERO FISIOLOGICO USO NASAL,FISIOLIMP LAVADO NASAL X100ml,PASTEUR,$ 16.399,33%,$ 10.987
1180,SUERO FISIOLOGICO USO NASAL,BEBESAL SOL.NASAL SPRAY X100ml,RECETARIO,$ 15.799,33%,$ 10.585
1181,SULFADIAZINA DE PLATA,SULFADIAZINA DE PLATA/LIDO/RETINOL CR. X,BAMBERG/SCHUBERT,$ 23.299,43%,$ 13.280
1182,SULFASALAZINA,SULFASALAZINA 500mg X100COM.REC.,BPH S.A,$ 34.999,44%,$ 19.599
1183,SULPIRIDE,SULPILAN 50mg X30CAP.,ITF (EX LABOMED),$ 16.999,40%,$ 10.199
1184,SULPIRIDE,SULPILAN (B) 50mg X60CAP.,ITF (EX LABOMED),$ 24.699,42%,$ 14.325
1185,SUPLEMENTO ALIMENTICIO,AVOPLUS X60TAB.,VITAMIN LIFE,$ 22.599,20%,$ 18.079
1186,TACROLIMUS,(B) CIDIMUS 5mg CAPS.X50,NOVARTIS CHILE S.A.,$ 564.999,15%,$ 480.249
1187,TACROLIMUS DE USO DERMICO,CROMIDIN 0.03% UNG.TÓPICO X15g,ALPES CHEMIE S.A.,$ 15.999,22%,$ 12.479
1188,TADALAFILO,EXIM 5 MG x 28 COMP,LABORATORIO CHILE,$ 34.599,28%,$ 24.911
1189,TAMSULOSINA,SULIX (B) 0.4mg X30CAP.,SYNTHON,$ 11.999,16%,$ 10.079
1190,TAMSULOSINA,GOTELY 0.4mg X30CAP.PROL.,TECNOFARMA LTDA.,$ 17.299,24%,$ 13.147
1191,TAMSULOSINA,"PROSTALL 0,4mg X60COM.REC",ABBOTT ETICO,$ 24.799,41%,$ 14.631
1192,TAMSULOSINA,PROSTALL 0.4mg X30COM.PROL.,RECALCINE,$ 19.799,50%,$ 9.900
1193,TELMISARTAN,TENSUREN (B) 40mg X30COM,LABORATORIO CHILE,$ 20.599,24%,$ 15.655
1194,TELMISARTAN,CORDIAX (B) 80mg X40COM.REC,RECALCINE,$ 25.999,25%,$ 19.499
1195,TELMISARTAN,MICARDIS (R) 40mg X28COM.,BOEHRINGER INGELHEIM,$ 43.999,39%,$ 26.839
1196,TELMISARTAN,TELLMI (B) 80mg X30COMP,SAVAL S.A.,$ 26.399,40%,$ 15.839
1197,TELMISARTAN + AMLODIPINO,MICARDIS AMLO 80/10 X28COM.,BOEHRINGER INGELHEIM,$ 40.599,31%,$ 28.013
1198,TELMISARTAN + AMLODIPINO,MICARDIS AMLO 80/5 X28COM.,BOEHRINGER INGELHEIM,$ 40.199,31%,$ 27.737
1199,TELMISARTAN + HIDROCLOROTIAZIDA,MICARDIS PLUS 80/25 COMP.X28,BOEHRINGER INGELHEIM,$ 34.699,22%,$ 27.065
1200,TELMISARTAN + HIDROCLOROTIAZIDA,TELLMI-D 40mg/12.5mg X30COMP,SAVAL S.A.,$ 21.999,28%,$ 15.839
1201,TELMISARTAN + HIDROCLOROTIAZIDA,"TELLMI-D 80/12,5mg X30COMP",SAVAL S.A.,$ 25.099,36%,$ 16.063
1202,TELMISARTAN + HIDROCLOROTIAZIDA,MICARDIS PLUS 40/12.5 X28COM.,BOEHRINGER INGELHEIM,$ 42.899,37%,$ 27.026
1203,TELMISARTAN + HIDROCLOROTIAZIDA,MICARDIS PLUS 80/12.5 COMP.X28,BOEHRINGER INGELHEIM,$ 42.899,37%,$ 27.026
1204,TERBINAFINA,MUCIVIL (B) 250mg X30COM.,PRATER,$ 10.999,43%,$ 6.269
1205,TERBINAFINA,TERBINAFINA (B) 250mg X28COM.,LABORATORIO CHILE,$ 9.799,49%,$ 4.997
1206,TERBINAFINA USO TOPICO,MUCIVIL 1% SP.X20ml,PRATER,$ 7.299,42%,$ 4.233
1207,TERBINAFINA USO TOPICO,DICIL 1% SOL.SP.X30ml,PHARMA INVESTI,$ 9.799,42%,$ 5.683
1208,TERBINAFINA USO TOPICO,DICIL 1% CR.X15g,PHARMA INVESTI,$ 8.599,74%,$ 2.236
1209,TESTOSTERONA,NEBIDO 1g/4ml AMP.X1,BAYER ETICO,$ 132.799,21%,$ 104.911
1210,TETRACICLINA,TETRACICLINA 500mg X8CAP.,HOSPIFARMA,$ 1.899,55%,$ 855
1211,TIAMAZOL,THYROZOL 5mg X50COM.REC.,MERCK SA CHILE,$ 16.799,15%,$ 14.279
1212,TIAMAZOL,THYROZOL 10mg X50COM.REC.,MERCK SA CHILE,$ 32.599,38%,$ 20.211
1213,TIBOLONA,LIREX (B) 2.5mg X30COM.,SILESIA,$ 26.799,23%,$ 20.635
1214,TIBOLONA,LIVIAL (R) 2.5mg X28COM.,MSD-ORGANON,$ 30.799,27%,$ 22.483
1215,TIBOLONA,"TINOX (B) 2,5mg X30COM.",RECALCINE,$ 26.599,40%,$ 15.959
1216,TICAGRELOR,BRILINTA 90mg X60COM.REC.,ASTRA ZENECA DE CHILE LTDA.,$ 75.799,20%,$ 60.639
1217,TICAGRELOR,BRILINTA 90mg X30COM.REC.,ASTRA ZENECA DE CHILE LTDA.,$ 48.199,33%,$ 32.293
1218,TIMOLOL,"TIMOLOL (B) 0,5% SOF.X10ml",OPKO,$ 2.899,75%,$ 725
1219,TIMOLOL + BIMATOPROST,GANFORT (B) SOL.OFT.3ml,ALLERGAN LTDA.,$ 34.599,15%,$ 29.409
1220,TIMOLOL + DORZOLAMIDA,ELIPTIC OFTENO (B) SOF X5ml,SOPHIA,$ 23.999,55%,$ 10.800
1221,TINIDAZOL + MICONAZOL,FAMIDAL CR.VAG.X60g,ANDROMACO FARMA,$ 22.599,30%,$ 15.819
1222,TINIDAZOL + MICONAZOL,FAMIDAL DUAL CR.VAG.X20g+10OVULOS,ANDROMACO FARMA,$ 25.099,30%,$ 17.569
1223,TINIDAZOL + MICONAZOL,FAMIDAL X10OVULOS,ANDROMACO FARMA,$ 26.799,30%,$ 18.759
1224,TINIDAZOL + MICONAZOL,GINECOPAST DUAL CR.X10g+10OV.,PASTEUR,$ 15.299,30%,$ 10.709
1225,TINIDAZOL + MICONAZOL,GINEDAZOL X10OV.,LABORATORIO CHILE,$ 24.699,30%,$ 17.289
1226,TIOTROPIO BROMURO,SPIRIVA RESPIMAT 2.5mcg INH.X30DS,BOEHRINGER INGELHEIM,$ 72.799,30%,$ 50.959
1227,TIZANIDINA,SIRDALUD 2mg X12COM.,NOVARTIS CHILE S.A.,$ 15.499,15%,$ 13.174
1228,TOBRAMICINA + DEXAMETASONA COLIRIO,TRAZIDEX OFTENO 5ml,SOPHIA,$ 16.999,26%,$ 12.579
1229,TOLTERODINA,ELTOVEN 2 2mg X30COM.REC.,PHARMA INVESTI,$ 23.599,16%,$ 19.823
1230,TOLTERODINA,DETRUSITOL SR 4mg X30COM.REC.,PFIZER,$ 48.399,17%,$ 40.171
1231,TOLTERODINA,UROSTOP (B) 2mg X30COM.,SYNTHON,$ 16.999,25%,$ 12.749
1232,TOPIRAMATO,TOPICTAL (B) 50mg X28COM.REC.,TECNOFARMA LTDA.,$ 32.699,20%,$ 26.159
1233,TOPIRAMATO,TOPICTAL (B) 25mg X28COM.REC.,TECNOFARMA LTDA.,$ 24.799,20%,$ 19.839
1234,TOPIRAMATO,TOPREL (B) 100mg X30COM.REC.,RECALCINE,$ 61.499,30%,$ 43.049
1235,TOPIRAMATO,AMATO (B) 25mg 60 XCOM.REC.,EUROFARMA CHILE S.A.,$ 22.199,30%,$ 15.539
1236,TOPIRAMATO,BIO MOOD (B) 100mg X30COM.,SAVAL S.A.,$ 48.899,33%,$ 32.762
1237,TOPIRAMATO,BIO MOOD (B) 25mg X30COM.,SAVAL S.A.,$ 19.099,37%,$ 12.032
1238,TOPIRAMATO,TOPREL (B) 25mg X30COM.REC.,RECALCINE,$ 24.499,40%,$ 14.699
1239,TOPIRAMATO,AMATO (B) 50mg 60 XCOM.REC.,EUROFARMA CHILE S.A.,$ 34.699,41%,$ 20.472
1240,TRAMADOL,TRAM-ONE 100mg X10CAP.LIB.PROL.,ITF (EX LABOMED),$ 21.999,30%,$ 15.399
1241,TRAMADOL,TRAMADOL 50mg X10CAP.,SANITAS S.A.,$ 2.499,30%,$ 1.749
1242,TRAMADOL,TRAMAL LONG (R) 100mg X10COM.,GRUNENTHAL,$ 31.999,40%,$ 19.199
1243,TRAMADOL,TRAMAL LONG (R) 50mg X20COM.PROL.,GRUNENTHAL,$ 26.499,45%,$ 14.574
1244,TRAMADOL,TRAMAL LONG (R) 50mg X10COM.PROL.,GRUNENTHAL,$ 15.199,46%,$ 8.207
1245,TRAMADOL,TRAMAL (B) 100mg/ml GTAS.X10ml,GRUNENTHAL,$ 24.499,46%,$ 13.229
1246,TRAMADOL,TRAMADOL (B) 100mg GTAS.X20ml,LABORATORIO CHILE,$ 5.199,50%,$ 2.600
1247,TRAMADOL,TRAMADOL (B) 100mg GTAS.X10ml,LABORATORIO CHILE,$ 3.999,70%,$ 1.200
1248,TRAVOPROST,"TRAVOF SP (R) 0,004% 2.5ml",SAVAL S.A.,$ 21.399,39%,$ 13.053
1249,TRAVOPROST + TIMOLOL,DUOTRAV BAK SOL.OFT.2.5ml,PASTEUR OPHTHA,$ 43.499,32%,$ 29.579
1250,TRAZODONA,TRITTICO AC 150mg X20COM.PROL.,LABORATORIO CHILE,$ 49.899,32%,$ 33.931
1251,TRAZODONA,TRITTICO 100mg X20COM.,LABORATORIO CHILE,$ 30.299,35%,$ 19.694
1252,TRAZODONA,TRITTICO 25mg X20CAP.,LABORATORIO CHILE,$ 21.399,47%,$ 11.341
1253,TRAZODONA,TRONSALAN 100mg X20COM.REC.,MEDIPHARM,$ 16.599,53%,$ 7.802
1254,TREHALOSA + HIALURONATO DE SODIO,THEALOZ DUO SOL.OFT.10ml,THEA PHARMA SPA,$ 27.899,26%,$ 20.645
1255,TRIBENOSIDO + LIDOCAINA,GESIPROCT CR.X30g,MEDIPHARM,$ 10.399,25%,$ 7.799
1256,TRICLOSAN,SANIGERMIN 1% JB.X90g,SANITAS S.A.,$ 1.999,36%,$ 1.279
1257,TRICLOSAN,"LAVASEPT 0,3% JB.X90g",FARMOQUIMICA DEL PACIFICO,$ 2.699,41%,$ 1.592
1258,TRIHEXIFENIDILO,TONARIL 2mg X100COM.,LABORATORIO CHILE,$ 24.199,50%,$ 12.100
1259,TRIMEBUTINO,TRIM 300mg COMP.X30,SAVAL S.A.,$ 46.399,31%,$ 32.015
1260,TRIMEBUTINO,TRIMEBUTINO (B) 100mg X20COM.,ANDROMACO FARMA,$ 1.799,40%,$ 1.079
1261,TRIMETAZIDINA,VASTAREL MR 35mg COMP.X30,FERRER,$ 20.699,28%,$ 14.903
1262,TRIPTORELINA,"DECAPEPTYL 11,25mg F-A X1",TECNOFARMA LTDA.,$ 290.199,15%,$ 246.669
1263,TROSPIO CLORURO,SPASMEX 30mg COM.X30,SYNTHON,$ 34.499,37%,$ 21.734
1264,VALERIANA + PASIFLORA + LUPULUS,VALUPASS CAPS.X60,KNOP,$ 10.799,55%,$ 4.860
1265,VALSARTAN,TAREG (R) 160mg X28COM.REC.,AXON PHARMA,$ 41.199,19%,$ 33.371
1266,VALSARTAN,VERALPRES (B) 160mg X30COM.REC.,EUROFARMA CHILE S.A.,$ 13.399,21%,$ 10.585
1267,VALSARTAN,TAREG (R) 320mg X28COM.REC.,AXON PHARMA,$ 43.599,21%,$ 34.443
1268,VALSARTAN,TAREG (R) 160mg X56COM.REC.,AXON PHARMA,$ 70.199,21%,$ 55.457
1269,VALSARTAN,VALAX (B) 320mg X30COM.REC,SAVAL S.A.,$ 15.399,21%,$ 12.165
1270,VALSARTAN,TAREG (R) 80mg X56COM.REC.,AXON PHARMA,$ 69.699,22%,$ 54.365
1271,VALSARTAN,DOSARA (B) 80mg X30COM.REC.,ANDROMACO FARMA,$ 14.699,22%,$ 11.465
1272,VALSARTAN,VARTALAN (B) 320mg X42COM.REC,ABBOTT ETICO,$ 17.999,25%,$ 13.499
1273,VALSARTAN,VALAX (B) 160mg X30COM.REC.,SAVAL S.A.,$ 15.699,25%,$ 11.774
1274,VALSARTAN,TAREG (R) 80mg X28COM.REC.,AXON PHARMA,$ 48.699,27%,$ 35.550
1275,VALSARTAN,VALAPLEX (B) 80mg X30COM.REC.,LABORATORIO CHILE,$ 16.899,28%,$ 12.167
1276,VALSARTAN,VALAPLEX (B) 160mg X30COM.REC.,LABORATORIO CHILE,$ 16.899,28%,$ 12.167
1277,VALSARTAN,VALAPLEX (B) 320mg X30COM.REC.,LABORATORIO CHILE,$ 16.899,28%,$ 12.167
1278,VALSARTAN,VARTALAN (B) 160mg X42COM.REC,ABBOTT ETICO,$ 17.999,28%,$ 12.959
1279,VALSARTAN,VERALPRES (B) 80mg X30COM.REC.,EUROFARMA CHILE S.A.,$ 16.499,37%,$ 10.394
1280,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/25 X28COM.REC.,AXON PHARMA,$ 42.799,17%,$ 35.523
1281,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/25 X56COM.REC.,AXON PHARMA,$ 67.699,17%,$ 56.190
1282,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/12.5 X28COM.REC.,AXON PHARMA,$ 44.099,21%,$ 34.838
1283,VALSARTAN + HIDROCLOROTIAZIDA,VALAX D 160/12.5 X30COM.REC.,SAVAL S.A.,$ 15.699,22%,$ 12.245
1284,VALSARTAN + HIDROCLOROTIAZIDA,VALAX D 320/25 X30COM.REC,SAVAL S.A.,$ 15.399,24%,$ 11.703
1285,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/25 X28COM.REC.,AXON PHARMA,$ 46.599,25%,$ 34.949
1286,VALSARTAN + HIDROCLOROTIAZIDA,VALAX D 160/25 X30COM.REC.,SAVAL S.A.,$ 15.599,25%,$ 11.699
1287,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/12.5 X56COM.REC.,AXON PHARMA,$ 75.099,27%,$ 54.822
1288,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D 160/12.5 X30COM.REC.,LABORATORIO CHILE,$ 16.899,28%,$ 12.167
1289,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D 80/12.5 X30COM.REC.,LABORATORIO CHILE,$ 16.899,28%,$ 12.167
1290,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/12.5 X56COM.REC.,AXON PHARMA,$ 80.199,28%,$ 57.743
1291,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 80/12.5 X56COM.REC,AXON PHARMA,$ 80.499,28%,$ 57.959
1292,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D FTE.160/25 X30COM.REC.,LABORATORIO CHILE,$ 17.799,31%,$ 12.281
1293,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 80/12.5 X28COM.REC.,AXON PHARMA,$ 51.799,32%,$ 35.223
1294,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/12.5 X28COM.REC.,AXON PHARMA,$ 55.599,36%,$ 35.583
1295,VASELINA LIQUIDA MEDICINAL,VASELINA MEDICINAL X120ml,LABORATORIO CHILE,$ 1.499,15%,$ 1.274
1296,VASELINA LIQUIDA MEDICINAL,VASELINA LIQUIDA ORAL X125ml,DIFEM PHARMA S.A.,$ 2.899,62%,$ 1.102
1297,VENLAFAXINA,EFEXOR XR (R) 150mg X30CAP.,PFIZER,$ 110.499,12%,$ 97.239
1298,VENLAFAXINA,SENEXON SR 75mg X30COM.PROL.,RECALCINE,$ 32.999,15%,$ 28.049
1299,VENLAFAXINA,SENEXON SR 37.5mg X30COM.REC.,RECALCINE,$ 25.799,15%,$ 21.929
1300,VENLAFAXINA,SUBELAN XR (B) 150mg X30CAP.PROL.,EXELTIS CHILE,$ 44.999,17%,$ 37.349
1301,VENLAFAXINA,SUBELAN OR (B) 150mg X30COM.PROL,EXELTIS CHILE,$ 39.999,20%,$ 31.999
1302,VENLAFAXINA,SUBELAN XR (B) 37.5mg X30CAP.PROL.,EXELTIS CHILE,$ 26.499,20%,$ 21.199
1303,VENLAFAXINA,VENLAX 50mg X30COM.,SAVAL S.A.,$ 25.799,23%,$ 19.865
1304,VENLAFAXINA,ECTIEN XR (B) 75mg X30CAP.,LABORATORIO CHILE,$ 24.299,30%,$ 17.009
1305,VENLAFAXINA,EFEXOR XR (R) 75mg X30CAP.,PFIZER,$ 63.399,30%,$ 44.379
1306,VENLAFAXINA,SENEXON SR (B) 150mg X30COM.PROL.,RECALCINE,$ 62.499,30%,$ 43.749
1307,VENLAFAXINA,ECTIEN XR (B) 150mg X30CAP.,LABORATORIO CHILE,$ 45.899,30%,$ 32.129
1308,VENLAFAXINA,ECTIEN XR (B) 37.5mg X30CAP.,LABORATORIO CHILE,$ 18.199,30%,$ 12.739
