,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio abril 2022,Descuento,Precio referencial con convenio abril 2022
1166,SODIO BICARBONATO + SODIO ALGINATO,GAVISCON 300ml,RECKITT BENCKISER FARMA,$21.199,33%,$14.203
1167,SODIO CLORURO INYECTABLE,CLORURO DE SODIO 0.9% 20ml X5AMP.,BIOSANO,$1.899,50%,$950
1168,SODIO CLORURO INYECTABLE,CLORURO SODIO 0.9% X500ml,HOSPIFARMA,$1.999,59%,$820
1169,SODIO HIALURONATO,TOPTEAR 0.4% SOF.X10ml,PHARMA INVESTI,$14.199,33%,$9.513
1170,SODIO HIALURONATO,OSMOLUB 0.1% SOF.10ml,SMB,$13.299,33%,$8.910
1171,SODIO HIALURONATO,HYABAK SOF.X10ml,THEA PHARMA SPA,$27.099,38%,$16.801
1172,SODIO HIALURONATO,LAGRICEL OFTENO 0.4% SOF.X20UNID.,SOPHIA,$25.899,40%,$15.539
1173,SODIO HIALURONATO,SODYAL SOF. X10ml,RECETARIO,$10.199,49%,$5.201
1174,SODIO HIALURONATO+CONDROITIN SULFATO,HUMYLUB OFTENO PF SOF.X10ml,SOPHIA,$24.499,34%,$16.169
1175,SOMATROPINA,OMNITROPE 10mg CARTRI.X1,NOVARTIS CHILE S.A.,$118.999,15%,$101.149
1176,SUCRALFATO,MULCATEL SUSP.200ml,MAVER FARMA,$17.999,50%,$9.000
1177,SUERO FISIOLOGICO USO NASAL,FISIOLIMP LAVADO NASAL X100ml,PASTEUR,$16.399,33%,$10.987
1178,SUERO FISIOLOGICO USO NASAL,BEBESAL SOL.NASAL SPRAY X100ml,RECETARIO,$15.299,33%,$10.250
1179,SULFADIAZINA DE PLATA,SULFADIAZINA DE PLATA/LIDO/RETINOL CR. X,BAMBERG/SCHUBERT,$23.299,43%,$13.280
1180,SULFASALAZINA,SULFASALAZINA 500mg X100COM.REC.,BPH S.A,$34.999,44%,$19.599
1181,SULPIRIDE,SULPILAN 50mg X30CAP.,ITF (EX LABOMED),$16.999,40%,$10.199
1182,SULPIRIDE,SULPILAN (B) 50mg X60CAP.,ITF (EX LABOMED),$24.699,42%,$14.325
1183,SUPLEMENTO ALIMENTICIO,AVOPLUS X60TAB.,VITAMIN LIFE,$20.999,20%,$16.799
1184,TACROLIMUS,(B) CIDIMUS 5mg CAPS.X50,NOVARTIS CHILE S.A.,$564.999,15%,$480.249
1185,TACROLIMUS DE USO DERMICO,CROMIDIN 0.03% UNG.TÓPICO X15g,ALPES CHEMIE S.A.,$15.999,22%,$12.479
1186,TADALAFILO,EXIM 5 MG x 28 COMP,LABORATORIO CHILE,$34.599,28%,$24.911
1187,TAMSULOSINA,SULIX (B) 0.4mg X30CAP.,SYNTHON,$11.999,16%,$10.079
1188,TAMSULOSINA,GOTELY 0.4mg X30CAP.PROL.,TECNOFARMA LTDA.,$16.399,24%,$12.463
1189,TAMSULOSINA,"PROSTALL 0,4mg X60COM.REC",ABBOTT ETICO,$24.799,41%,$14.631
1190,TAMSULOSINA,PROSTALL 0.4mg X30COM.PROL.,RECALCINE,$19.799,50%,$9.900
1191,TELMISARTAN,TENSUREN (B) 40mg X30COM,LABORATORIO CHILE,$20.599,24%,$15.655
1192,TELMISARTAN,CORDIAX (B) 80mg X40COM.REC,RECALCINE,$25.999,25%,$19.499
1193,TELMISARTAN,MICARDIS (R) 40mg X28COM.,BOEHRINGER INGELHEIM,$40.999,39%,$25.009
1194,TELMISARTAN,TELLMI (B) 80mg X30COMP,SAVAL S.A.,$25.099,40%,$15.059
1195,TELMISARTAN + AMLODIPINO,MICARDIS AMLO 80/10 X28COM.,BOEHRINGER INGELHEIM,$37.799,31%,$26.081
1196,TELMISARTAN + AMLODIPINO,MICARDIS AMLO 80/5 X28COM.,BOEHRINGER INGELHEIM,$37.499,31%,$25.874
1197,TELMISARTAN + HIDROCLOROTIAZIDA,MICARDIS PLUS 80/25 COMP.X28,BOEHRINGER INGELHEIM,$32.299,22%,$25.193
1198,TELMISARTAN + HIDROCLOROTIAZIDA,TELLMI-D 40mg/12.5mg X30COMP,SAVAL S.A.,$20.899,28%,$15.047
1199,TELMISARTAN + HIDROCLOROTIAZIDA,"TELLMI-D 80/12,5mg X30COMP",SAVAL S.A.,$23.899,36%,$15.295
1200,TELMISARTAN + HIDROCLOROTIAZIDA,MICARDIS PLUS 40/12.5 X28COM.,BOEHRINGER INGELHEIM,$39.999,37%,$25.199
1201,TELMISARTAN + HIDROCLOROTIAZIDA,MICARDIS PLUS 80/12.5 COMP.X28,BOEHRINGER INGELHEIM,$39.999,37%,$25.199
1202,TERBINAFINA,MUCIVIL (B) 250mg X30COM.,PRATER,$10.999,43%,$6.269
1203,TERBINAFINA,TERBINAFINA (B) 250mg X28COM.,LABORATORIO CHILE,$9.799,49%,$4.997
1204,TERBINAFINA USO TOPICO,MUCIVIL 1% SP.X20ml,PRATER,$7.299,42%,$4.233
1205,TERBINAFINA USO TOPICO,DICIL 1% SOL.SP.X30ml,PHARMA INVESTI,$9.299,42%,$5.393
1206,TERBINAFINA USO TOPICO,DICIL 1% CR.X15g,PHARMA INVESTI,$8.099,74%,$2.106
1207,TESTOSTERONA,NEBIDO 1g/4ml AMP.X1,BAYER ETICO,$132.799,21%,$104.911
1208,TETRACICLINA,TETRACICLINA 500mg X8CAP.,HOSPIFARMA,$1.899,55%,$855
1209,TIAMAZOL,THYROZOL 5mg X50COM.REC.,MERCK SA CHILE,$16.799,15%,$14.279
1210,TIAMAZOL,THYROZOL 10mg X50COM.REC.,MERCK SA CHILE,$32.599,38%,$20.211
1211,TIBOLONA,LIREX (B) 2.5mg X30COM.,SILESIA,$25.999,23%,$20.019
1212,TIBOLONA,LIVIAL (R) 2.5mg X28COM.,MSD- ORGANON,$30.799,27%,$22.483
1213,TIBOLONA,"TINOX (B) 2,5mg X30COM.",RECALCINE,$26.599,40%,$15.959
1214,TICAGRELOR,BRILINTA 90mg X60COM.REC.,ASTRA ZENECA DE CHILE LTDA.,$71.899,20%,$57.519
1215,TICAGRELOR,BRILINTA 90mg X30COM.REC.,ASTRA ZENECA DE CHILE LTDA.,$45.699,33%,$30.618
1216,TIMOLOL,"TIMOLOL (B) 0,5% SOF.X10ml",OPKO,$2.699,75%,$675
1217,TIMOLOL + BIMATOPROST,GANFORT (B) SOL.OFT.3ml,ALLERGAN LTDA.,$34.599,15%,$29.409
1218,TIMOLOL + DORZOLAMIDA,ELIPTIC OFTENO (B) SOF X5ml,SOPHIA,$23.999,55%,$10.800
1219,TINIDAZOL + MICONAZOL,FAMIDAL CR.VAG.X60g,ANDROMACO FARMA,$21.999,30%,$15.399
1220,TINIDAZOL + MICONAZOL,FAMIDAL DUAL CR.VAG.X20g+10OVULOS,ANDROMACO FARMA,$24.399,30%,$17.079
1221,TINIDAZOL + MICONAZOL,FAMIDAL X10OVULOS,ANDROMACO FARMA,$26.099,30%,$18.269
1222,TINIDAZOL + MICONAZOL,GINECOPAST DUAL CR.X10g+10OV.,PASTEUR,$15.299,30%,$10.709
1223,TINIDAZOL + MICONAZOL,GINEDAZOL X10OV.,LABORATORIO CHILE,$24.699,30%,$17.289
1224,TIOTROPIO BROMURO,SPIRIVA RESPIMAT 2.5mcg INH.X30DS,BOEHRINGER INGELHEIM,$67.899,30%,$47.529
1225,TIZANIDINA,SIRDALUD 2mg X12COM.,NOVARTIS CHILE S.A.,$15.499,15%,$13.174
1226,TOBRAMICINA + DEXAMETASONA COLIRIO,TRAZIDEX OFTENO 5ml,SOPHIA,$16.999,26%,$12.579
1227,TOLTERODINA,ELTOVEN 2 2mg X30COM.REC.,PHARMA INVESTI,$22.399,16%,$18.815
1228,TOLTERODINA,DETRUSITOL SR 4mg X30COM.REC.,PFIZER,$48.399,17%,$40.171
1229,TOLTERODINA,UROSTOP (B) 2mg X30COM.,SYNTHON,$16.999,25%,$12.749
1230,TOPIRAMATO,TOPICTAL (B) 50mg X28COM.REC.,TECNOFARMA LTDA.,$30.499,20%,$24.399
1231,TOPIRAMATO,TOPICTAL (B) 25mg X28COM.REC.,TECNOFARMA LTDA.,$22.899,20%,$18.319
1232,TOPIRAMATO,TOPREL (B) 100mg X30COM.REC.,RECALCINE,$61.499,30%,$43.049
1233,TOPIRAMATO,AMATO (B) 25mg 60 XCOM.REC.,EUROFARMA CHILE S.A.,$22.199,30%,$15.539
1234,TOPIRAMATO,BIO MOOD (B) 100mg X30COM.,SAVAL S.A.,$46.599,33%,$31.221
1235,TOPIRAMATO,BIO MOOD (B) 25mg X30COM.,SAVAL S.A.,$18.299,37%,$11.528
1236,TOPIRAMATO,TOPREL (B) 25mg X30COM.REC.,RECALCINE,$24.499,40%,$14.699
1237,TOPIRAMATO,AMATO (B) 50mg 60 XCOM.REC.,EUROFARMA CHILE S.A.,$34.699,41%,$20.472
1238,TRAMADOL,TRAM-ONE 100mg X10CAP.LIB.PROL.,ITF (EX LABOMED),$21.999,30%,$15.399
1239,TRAMADOL,TRAMADOL 50mg X10CAP.,SANITAS S.A.,$2.499,30%,$1.749
1240,TRAMADOL,TRAMAL LONG (R) 100mg X10COM.,GRUNENTHAL,$31.299,40%,$18.779
1241,TRAMADOL,TRAMAL LONG (R) 50mg X20COM.PROL.,GRUNENTHAL,$25.899,45%,$14.244
1242,TRAMADOL,TRAMAL LONG (R) 50mg X10COM.PROL.,GRUNENTHAL,$14.899,46%,$8.045
1243,TRAMADOL,TRAMAL (B) 100mg/ml GTAS.X10ml,GRUNENTHAL,$23.999,46%,$12.959
1244,TRAMADOL,TRAMADOL (B) 100mg GTAS.X20ml,LABORATORIO CHILE,$5.199,50%,$2.600
1245,TRAMADOL,TRAMADOL (B) 100mg GTAS.X10ml,LABORATORIO CHILE,$3.999,70%,$1.200
1246,TRAVOPROST,"TRAVOF SP (R) 0,004% 2.5ml",SAVAL S.A.,$20.399,39%,$12.443
1247,TRAVOPROST + TIMOLOL,DUOTRAV BAK SOL.OFT.2.5ml,PASTEUR OPHTHA,$43.499,32%,$29.579
1248,TRAZODONA,TRITTICO AC 150mg X20COM.PROL.,LABORATORIO CHILE,$49.899,32%,$33.931
1249,TRAZODONA,TRITTICO 100mg X20COM.,LABORATORIO CHILE,$30.299,35%,$19.694
1250,TRAZODONA,TRITTICO 25mg X20CAP.,LABORATORIO CHILE,$21.399,47%,$11.341
1251,TRAZODONA,TRONSALAN 100mg X20COM.REC.,MEDIPHARM,$16.599,53%,$7.802
1252,TREHALOSA + HIALURONATO DE SODIO,THEALOZ DUO SOL.OFT.10ml,THEA PHARMA SPA,$25.999,26%,$19.239
1253,TRIBENOSIDO + LIDOCAINA,GESIPROCT CR.X30g,MEDIPHARM,$10.399,25%,$7.799
1254,TRICLOSAN,SANIGERMIN 1% JB.X90g,SANITAS S.A.,$1.999,36%,$1.279
1255,TRICLOSAN,"LAVASEPT 0,3% JB.X90g",FARMOQUIMICA DEL PACIFICO,$2.499,41%,$1.474
1256,TRIHEXIFENIDILO,TONARIL 2mg X100COM.,LABORATORIO CHILE,$24.199,50%,$12.100
1257,TRIMEBUTINO,TRIM 300mg COMP.X30,SAVAL S.A.,$44.599,31%,$30.773
1258,TRIMEBUTINO,TRIMEBUTINO (B) 100mg X20COM.,ANDROMACO FARMA,$1.799,40%,$1.079
1259,TRIMETAZIDINA,VASTAREL MR 35mg COMP.X30,FERRER,$20.699,28%,$14.903
1260,TRIPTORELINA,"DECAPEPTYL 11,25mg F-A X1",TECNOFARMA LTDA.,$284.499,15%,$241.824
1261,TROSPIO CLORURO,SPASMEX 30mg COM.X30,SYNTHON,$34.499,37%,$21.734
1262,VALERIANA + PASIFLORA + LUPULUS,VALUPASS CAPS.X60,KNOP,$10.799,55%,$4.860
1263,VALSARTAN,TAREG (R) 160mg X28COM.REC.,AXON PHARMA,$38.499,19%,$31.184
1264,VALSARTAN,VERALPRES (B) 160mg X30COM.REC.,EUROFARMA CHILE S.A.,$13.399,21%,$10.585
1265,VALSARTAN,TAREG (R) 320mg X28COM.REC.,AXON PHARMA,$40.699,21%,$32.152
1266,VALSARTAN,TAREG (R) 160mg X56COM.REC.,AXON PHARMA,$65.599,21%,$51.823
1267,VALSARTAN,VALAX (B) 320mg X30COM.REC,SAVAL S.A.,$14.699,21%,$11.612
1268,VALSARTAN,TAREG (R) 80mg X56COM.REC.,AXON PHARMA,$65.099,22%,$50.777
1269,VALSARTAN,DOSARA (B) 80mg X30COM.REC.,ANDROMACO FARMA,$14.699,22%,$11.465
1270,VALSARTAN,VARTALAN (B) 320mg X42COM.REC,ABBOTT ETICO,$17.999,25%,$13.499
1271,VALSARTAN,VALAX (B) 160mg X30COM.REC.,SAVAL S.A.,$14.999,25%,$11.249
1272,VALSARTAN,TAREG (R) 80mg X28COM.REC.,AXON PHARMA,$45.499,27%,$33.214
1273,VALSARTAN,VALAPLEX (B) 80mg X30COM.REC.,LABORATORIO CHILE,$16.899,28%,$12.167
1274,VALSARTAN,VALAPLEX (B) 160mg X30COM.REC.,LABORATORIO CHILE,$16.899,28%,$12.167
1275,VALSARTAN,VALAPLEX (B) 320mg X30COM.REC.,LABORATORIO CHILE,$16.899,28%,$12.167
1276,VALSARTAN,VARTALAN (B) 160mg X42COM.REC,ABBOTT ETICO,$17.999,28%,$12.959
1277,VALSARTAN,VERALPRES (B) 80mg X30COM.REC.,EUROFARMA CHILE S.A.,$16.499,37%,$10.394
1278,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/25 X28COM.REC.,AXON PHARMA,$39.999,17%,$33.199
1279,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/25 X56COM.REC.,AXON PHARMA,$63.199,17%,$52.455
1280,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/12.5 X28COM.REC.,AXON PHARMA,$41.199,21%,$32.547
1281,VALSARTAN + HIDROCLOROTIAZIDA,VALAX D 160/12.5 X30COM.REC.,SAVAL S.A.,$14.999,22%,$11.699
1282,VALSARTAN + HIDROCLOROTIAZIDA,VALAX D 320/25 X30COM.REC,SAVAL S.A.,$14.699,24%,$11.171
1283,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/25 X28COM.REC.,AXON PHARMA,$43.499,25%,$32.624
1284,VALSARTAN + HIDROCLOROTIAZIDA,VALAX D 160/25 X30COM.REC.,SAVAL S.A.,$14.899,25%,$11.174
1285,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 320/12.5 X56COM.REC.,AXON PHARMA,$70.099,27%,$51.172
1286,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D 160/12.5 X30COM.REC.,LABORATORIO CHILE,$16.899,28%,$12.167
1287,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D 80/12.5 X30COM.REC.,LABORATORIO CHILE,$16.899,28%,$12.167
1288,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/12.5 X56COM.REC.,AXON PHARMA,$74.899,28%,$53.927
1289,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 80/12.5 X56COM.REC,AXON PHARMA,$75.199,28%,$54.143
1290,VALSARTAN + HIDROCLOROTIAZIDA,VALAPLEX D FTE.160/25 X30COM.REC.,LABORATORIO CHILE,$17.799,31%,$12.281
1291,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 80/12.5 X28COM.REC.,AXON PHARMA,$48.399,32%,$32.911
1292,VALSARTAN + HIDROCLOROTIAZIDA,TAREG D 160/12.5 X28COM.REC.,AXON PHARMA,$51.899,36%,$33.215
1293,VASELINA LIQUIDA MEDICINAL,VASELINA MEDICINAL X120ml,LABORATORIO CHILE,$1.499,15%,$1.274
1294,VASELINA LIQUIDA MEDICINAL,VASELINA LIQUIDA ORAL X125ml,DIFEM PHARMA S.A.,$2.899,62%,$1.102
1295,VENLAFAXINA,EFEXOR XR (R) 150mg X30CAP.,PFIZER,$110.499,12%,$97.239
1296,VENLAFAXINA,SENEXON SR 75mg X30COM.PROL.,RECALCINE,$32.999,15%,$28.049
1297,VENLAFAXINA,SENEXON SR 37.5mg X30COM.REC.,RECALCINE,$25.799,15%,$21.929
1298,VENLAFAXINA,SUBELAN XR (B) 150mg X30CAP.PROL.,EXELTIS CHILE,$44.999,17%,$37.349
1299,VENLAFAXINA,SUBELAN OR (B) 150mg X30COM.PROL,EXELTIS CHILE,$39.999,20%,$31.999
1300,VENLAFAXINA,SUBELAN XR (B) 37.5mg X30CAP.PROL.,EXELTIS CHILE,$26.499,20%,$21.199
1301,VENLAFAXINA,VENLAX 50mg X30COM.,SAVAL S.A.,$24.699,23%,$19.018
1302,VENLAFAXINA,ECTIEN XR (B) 75mg X30CAP.,LABORATORIO CHILE,$24.299,30%,$17.009
1303,VENLAFAXINA,EFEXOR XR (R) 75mg X30CAP.,PFIZER,$63.399,30%,$44.379
1304,VENLAFAXINA,SENEXON SR (B) 150mg X30COM.PROL.,RECALCINE,$62.499,30%,$43.749
1305,VENLAFAXINA,ECTIEN XR (B) 150mg X30CAP.,LABORATORIO CHILE,$45.899,30%,$32.129
1306,VENLAFAXINA,ECTIEN XR (B) 37.5mg X30CAP.,LABORATORIO CHILE,$18.199,30%,$12.739
1307,VENLAFAXINA,DEPUROL RET.(B) 150mg X30CAP.,PHARMA INVESTI,$74.399,38%,$46.127
1308,VENLAFAXINA,DEPUROL RET.(B) 75mg X30CAP.,PHARMA INVESTI,$41.899,42%,$24.301
1309,VENLAFAXINA,DEPUROL RET.37.5mg X30CAP.,PHARMA INVESTI,$34.199,42%,$19.835
1310,VENLAFAXINA,SUBELAN XR (B) 75mg X30CAP.PROL.,EXELTIS CHILE,$30.999,60%,$12.400
1311,VILANTEROL + FLUTICASONA,RELVAR 184/22mcg INH.X30DS.,GLAXO,$71.999,30%,$50.399
1312,VILANTEROL + FLUTICASONA,RELVAR 92/22mcg INH.X30DS.,GLAXO,$68.799,40%,$41.279
1313,VILDAGLIPTINA,GALVUS 50mg X56COM.,AXON PHARMA,$46.599,34%,$30.755
1314,VILDAGLIPTINA,GALVUS 50mg X28COM.,AXON PHARMA,$30.899,40%,$18.539
1315,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/1000 X28COM.REC.,AXON PHARMA,$32.099,20%,$25.679
1316,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/1000 X56COM.REC.,AXON PHARMA,$54.299,20%,$43.439
1317,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/500 X28COM.REC.,AXON PHARMA,$28.699,27%,$20.950
1318,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/500 X56COM.REC.,AXON PHARMA,$54.299,31%,$37.466
1319,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/850 X56COM.REC.,AXON PHARMA,$52.099,31%,$35.948
1320,VILDAGLIPTINA + METFORMINA,GALVUS MET 50/850 X28COM.REC.,AXON PHARMA,$34.499,43%,$19.664
1321,VIT.A + VIT.C + VIT.D,ABECIDIN ACD GTAS.X30ml,PASTEUR,$7.999,20%,$6.399
1322,VIT.A + VIT.C + VIT.D,VITAMINA ACD GTAS.X30ml,LABORATORIO CHILE,$4.599,41%,$2.713
1323,VIT.A + VIT.C + VIT.D,INFORTIN ACD GTAS.X30ml,PRATER,$8.799,69%,$2.728
1324,VIT.A + VIT.C + VIT.E + SELENIO + ZINC + MANGANESO + COBRE,LAROTABE CAPS.X60,BAYER OTC,$26.599,21%,$21.013
1325,VIT.B1 + VIT.B6 + VIT.B12,TOL 12 FTE.10000 X3AMP.,SAVAL S.A.,$6.999,14%,$6.019
1326,VIT.B1 + VIT.B6 + VIT.B12,NEUROBION DC (B) 10000UI/3ml X3AMP.,PROCTER&GAMBLE (FARMA),$16.999,18%,$13.939
1327,VITAMINA A PALMITATO,BAGOVIT A CR.100g,BAGO,$8.499,15%,$7.224
1328,VITAMINA C (ACIDO ASCORBICO),VITAMIN C 1000 TABL.X60,VITAMIN LIFE,$6.999,30%,$4.899
1329,VITAMINA C (ACIDO ASCORBICO),ACIDO ASCORBICO 100mg X100COM.,BYB FARMACEUTICA,$1.199,53%,$564
1330,VITAMINA C + PROBIOTICOS,CREVET LIGHT 500mg X32COM.MAST.,PRATER,$3.599,40%,$2.159
1331,VITAMINA E (TOCOFEROL),EGOGYN 1000UI CAPS.X30,RECALCINE K2 HEALTH & WELLNESS,$9.699,45%,$5.334
1332,VITAMINA E (TOCOFEROL),EGOGYN 400UI CAPS.X30,RECALCINE K2 HEALTH & WELLNESS,$5.099,46%,$2.753
1333,VORTIOXETINA,BRINTELLIX 10mg X28COM.,LUNDBECK,$62.299,5%,$59.184
1334,WARFARINA,CAVAMED 5mg COMP.X30,PHARMA INVESTI,$26.699,25%,$20.024
1335,ZINC,NUM-ZIT 10mg X30COM.,ANDROMACO FARMA,$12.699,30%,$8.889
1336,ZINC,NUM-ZIT 15mg X30COM.,ANDROMACO FARMA,$11.699,30%,$8.189
1337,ZINC,NUM-ZIT 5 5mg/ml GTAS.X25ml,ANDROMACO FARMA,$12.699,30%,$8.889
1338,ZINC,ALTAZINC 10mg X40COM.,SAVAL S.A.,$19.699,30%,$13.789
1339,ZINC,ALTAZINC 15mg X40COM.,SAVAL S.A.,$18.599,30%,$13.019
1340,ZINC,ALTAZINC 5mg/ml GTAS.X30ml,SAVAL S.A.,$21.399,30%,$14.979
1341,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.X100g,ANDROMACO FARMA,$7.799,15%,$6.629
1342,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.X60g,ANDROMACO FARMA,$5.699,15%,$4.844
1343,ZINC OXIDO + ACIDO BORICO + VIT.A + VIT.D,HIPOGLOS PDA.X20g,ANDROMACO FARMA,$4.199,20%,$3.359
1344,ZINC OXIDO + VIT.A + VIT.D + ALCOHOL PANTOTENILICO + BENZALCONIO CLORURO,POVIN PDA.X20g,ANDROMACO FARMA,$3.399,20%,$2.719
1345,ZINC SULFATO + GELATINA-AMINOACIDO AZUFR,VANTUX CAPS.X30,PHARMA INVESTI,$10.499,38%,$6.509
1346,ZOLPIDEM,SOMNIL (B) 10mg X30COM.,TECNOFARMA LTDA.,$22.599,16%,$18.983
1347,ZOLPIDEM,SUCEDAL (B) 10mg X30COM.REC.,PHARMA INVESTI,$27.999,20%,$22.399
1348,ZOLPIDEM,SOMNO XR 12.5mg COMP.X30,SAVAL S.A.,$33.999,33%,$22.779
1349,ZOLPIDEM,SOMNO (B) 10mg X30COM.REC.,SAVAL S.A.,$34.299,35%,$22.294
1350,ZOPICLONA,LOSOPIL (B) 7.5mg X30COM.REC.,MEDIPHARM,$5.499,43%,$3.134
1351,ZOPICLONA,ZOPICLONA (B) 7.5mg X30COM.REC,HOSPIFARMA,$3.299,60%,$1.320
